category_id,id,answer,difficulty_level,option1,option2,option3,option4,question_title
3,50,Basketball,EASY,Basketball,Baseball,Football,Soccer,Which sport is played with a round ball and two teams of five players each?
3,51,FIFA World Cup,MEDIUM,FIFA World Cup,Super Bowl,Olympic Games,UEFA Champions League,Which event is considered the most prestigious in international soccer?
3,52,Margaret Court,HARD,Serena Williams,Maria Sharapova,Steffi Graf,Martina Navratilova,Which female tennis player has the most Grand Slam singles titles?
2,53,World War II,MEDIUM,World War I,World War II,American Civil War,Vietnam War,Which war was fought between the Axis Powers and the Allied Powers from 1939 to 1945?
2,54,The Renaissance,HARD,The Renaissance,The Industrial Revolution,The Enlightenment,The French Revolution,Which period in European history is known for its cultural and intellectual advancements?
2,55,George Washington,EASY,George Washington,Thomas Jefferson,Abraham Lincoln,John F. Kennedy,Who was the first President of the United States?
4,56,Photosynthesis,MEDIUM,Photosynthesis,Respiration,Fermentation,Digestion,Which process converts sunlight into chemical energy in plants?
4,57,Gravity,EASY,Gravity,Electromagnetism,Strong nuclear force,Weak nuclear force,Which force causes objects to fall towards the Earth?
4,58,Niels Bohr,HARD,Niels Bohr,Max Planck,Erwin Schrödinger,Albert Einstein,Who developed the quantum theory of the atom?
5,59,Steven Spielberg,EASY,Steven Spielberg,Martin Scorsese,Quentin Tarantino,Christopher Nolan,"Who directed the film /""Jurassic Park""?"
5,60,The Lord of the Rings: The Return of the King,MEDIUM,The Lord of the Rings: The Return of the King,Titanic,Forrest Gump,Gladiator,Which film won the Best Picture Oscar in 2004?
5,61,Quentin Tarantino,MEDIUM,Alfred Hitchcock,Martin Scorsese,Steven Spielberg,Quentin Tarantino,"Who directed the movie ""Pulp Fiction""?"
3,62,Muhammad Ali,MEDIUM,Muhammad Ali,Mike Tyson,Floyd Mayweather Jr.,Manny Pacquiao,"Who is considered ""The Greatest"" in boxing?"
5,63,Leonardo DiCaprio,EASY,Leonardo DiCaprio,Tom Hanks,Brad Pitt,Johnny Depp,"Which actor starred in ""Titanic""?"
2,64,The Magna Carta,HARD,The Magna Carta,The Declaration of Independence,The Emancipation Proclamation,The Universal Declaration of Human Rights,Which document is considered a cornerstone of modern democracy?
1,65,Sahara Desert,HARD,Sahara Desert,Arabian Desert,Gobi Desert,Kalahari Desert,Which is the largest hot desert in the world?
4,66,Gregor Mendel,MEDIUM,Gregor Mendel,Charles Darwin,Louis Pasteur,Marie Curie,"Who is known as the ""Father of Genetics""?"
4,67,The Big Bang Theory,HARD,The Big Bang Theory,The Theory of Evolution,The Theory of Relativity,The Theory of Plate Tectonics,Which theory explains the origin of the universe?
1,68,Russia,EASY,Australia,United States,China,India,Which country is the largest by land area?
1,69,Mount Everest,MEDIUM,Mount Everest,K2,Kangchenjunga,Lhotse,Which is the highest mountain in the world?
3,70,Roger Federer,EASY,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray,Which tennis player has won the most Wimbledon titles?
2,71,Ancient Egypt,EASY,Ancient Greece,Ancient Rome,Ancient Egypt,Ancient China,Which ancient civilization built the Great Pyramids?
4,72,H2O,EASY,H2O,CO2,O2,NaCl,What is the chemical formula for water?
5,73,Katharine Hepburn,HARD,Katharine Hepburn,Meryl Streep,Ingrid Bergman,Audrey Hepburn,Which actress has won the most Academy Awards for Best Actress?
3,74,Brazil,HARD,Brazil,Germany,Italy,Argentina,Which country has won the most FIFA World Cup titles?
1,1,Paris,EASY,Paris,London,Berlin,Rome,What is the capital of France?
2,81,The Battle of Waterloo,MEDIUM,The Battle of Waterloo,The Battle of Gettysburg,The Battle of Stalingrad,The Battle of Normandy,Which battle marked the final defeat of Napoleon Bonaparte?
